#weight  minuslogpost      logA         ns  theta_MC_100       ombh2      omch2         tau   A_planck  calib_100T  calib_217T  A_cib_217  xi_sz_cib      A_sz   ksz_norm  gal545_A_100  gal545_A_143  gal545_A_143_217  gal545_A_217  ps_A_100_100  ps_A_143_143  ps_A_143_217  ps_A_217_217  galf_TE_A_100  galf_TE_A_100_143  galf_TE_A_100_217  galf_TE_A_143  galf_TE_A_143_217  galf_TE_A_217            As        H0     omegam   omegamh2   omega_de        YHe        Y_p     DHBBN       zre     sigma8       s8h5  s8omegamp5  s8omegamp25         A     clamp       age     rdrag  minuslogprior  minuslogprior__0  minuslogprior__SZ      chi2  chi2__planck_2018_lowl.TT  chi2__planck_2018_lowl.EE  chi2__planck_2018_highl_plik.TTTEEE  chi2__planck_2018_lensing.clik
      1       1474.36 3.0615723 0.96328094     1.0411095 0.022365872  0.1214851 0.054751647  1.0003271  0.99920637  0.99775533  60.331623 0.84509011 3.9436063  2.9394153     12.662555     9.3184588         10.531767     71.102447     216.49978     37.528937     42.299089     102.84744    0.084697548         0.16324587         0.48541712     0.18556579         0.71650223      2.2060438 2.1361116e-09 66.900934 0.32284332 0.14449611 0.67707595 0.24539724 0.24672376  2.586352  7.751336 0.82288149  1.0060538  0.46755553   0.62027638 2.1361116 1.9145524  13.79815 146.70856      25.124521         23.103476          2.0210457 2898.4709                  24.915514                  396.33064                            2462.3451                       14.879662
      2      1463.224 3.0637256 0.96326291     1.0411218 0.022359001  0.1215257 0.055862566  1.0006036   1.0004983  0.99798383  50.793147 0.95969373 4.4284122  3.5245628      13.57206     9.8199816             13.51     76.997764     210.51348      33.29384     39.162522     110.15104    0.053952624         0.20415898         0.45738807     0.25384227          0.6891695      1.6871177 2.1407164e-09 66.885369 0.32306898 0.14452984 0.67685025 0.24539451 0.24672102 2.5876411 7.8667072 0.82393535  1.0074594  0.46831791   0.62117927 2.1407164 1.9144213 13.798635 146.70555      27.179594         25.093591          2.0860036 2872.0888                  24.902717                  396.57343                            2435.5348                       15.077869
      1     1444.3706  3.068113 0.96380355     1.0409385 0.022381376 0.12123254  0.05855633  1.0022909   1.0000315  0.99816372  54.148713  0.8173108 3.8247151  4.2661872     14.466617     11.117127         11.846989     74.274173     206.00141     32.291758     36.038967     103.92406    0.074556079         0.17088301         0.47615154     0.18081427         0.63810994      1.8025405 2.1501292e-09 66.943749 0.32190152 0.14425906 0.67801786 0.24540335  0.2467299  2.583453 8.1275245 0.82467436  1.0079233  0.46789026   0.62117397 2.1501292 1.9125076 13.800713 146.75748      26.737967         24.676832          2.0611353 2835.2652                  24.541614                   397.3415                            2399.4717                       13.910396
      7     1426.9508 3.0550148 0.95198973     1.0409385 0.022381376 0.12123254  0.05855633 0.99868195  0.99935239  0.99668966  52.316067 0.54646321 3.7000742  6.7823878     11.250424     11.247844         18.139581     84.341286     266.64659     49.723592     35.042538      107.7525    0.025882254           0.140735         0.43606462     0.21775399         0.71396688       1.991544 2.1221499e-09 66.943749 0.32190152 0.14425906 0.67801786 0.24540335  0.2467299  2.583453 8.1275245 0.81567113 0.99691946  0.46278215   0.61439242 2.1221499 1.8876204 13.800713 146.75748      26.807235         24.219903          2.5873312 2800.2871                   27.33771                  397.62773                            2365.4715                       9.8501081
      3     1426.5285 3.0553769 0.95145424     1.0409385 0.022381376 0.12123254  0.05855633 0.99880399  0.99866643   0.9976243  52.584621  0.3889389 2.6187949  6.8051252     9.9014013     12.524943          20.75984      90.89952     272.15225     55.432788     30.680581     104.61386    0.024390947         0.12249448          0.4133598     0.21438823         0.74858337      2.0606708 2.1229186e-09 66.943749 0.32190152 0.14425906 0.67801786 0.24540335  0.2467299  2.583453 8.1275245 0.81565567 0.99690057  0.46277338   0.61438077 2.1229186 1.8883042 13.800713 146.75748      25.911826         23.770074          2.1417516 2801.2333                  27.522077                  397.70014                            2366.1245                       9.8865137
      1     1423.6336 3.0540438 0.95073452     1.0409255 0.022341122 0.12153566 0.057631757 0.99960251  0.99870062  0.99827538   54.92999 0.31075598 3.1081792  5.6934923     9.0486758     12.959203         22.955269     95.172557     300.70222     61.769427     33.886862     101.97698    0.049405455         0.13453932         0.40878216      0.2402987         0.72552412      2.0355076 2.1200903e-09 66.801663 0.32386139 0.14452192 0.67605764 0.24538736 0.24671384 2.5910065 8.0493879 0.81603889 0.99842907  0.46439811   0.61560289 2.1200903 1.8892788 13.806353 146.72273      24.161368         22.068211          2.0931567 2798.9445                  27.498481                  397.37312                            2364.2611                       9.8118296
      3     1424.4018  3.059855 0.95360094     1.0408144 0.022180942  0.1201735 0.062698655 0.99973949  0.99895014  0.99805054  55.884384 0.19748625 9.3911813  1.3323348     5.8863712     10.301447         24.167091     96.863339     251.38982       61.0892      48.09802      110.6339     0.14212157         0.14478774         0.52084488     0.23916342         0.63973615      2.1572882 2.1324465e-09 67.104758 0.31756171 0.14299958 0.68235805 0.24532173 0.24664797 2.6215658 8.5671274 0.81535555 0.99533752  0.45947416   0.61207419 2.1324465 1.8811299 13.820433 147.25879      24.641255         20.010635          4.6306202 2799.5211                  26.625574                  399.33403                            2364.5961                       8.9653917
      3     1421.6319 3.0685483 0.95464208     1.0408144 0.022180942  0.1201735 0.062698655  1.0037689  0.99922275  0.99806293   48.70223 0.37898175 9.8735061  0.4517754     7.2220627     11.037446         24.856786     100.63442      245.2179     56.876059     52.829992     125.72187     0.10197546         0.13330007         0.45039168     0.21558514          0.6240401      1.9455027 2.1510654e-09 67.104758 0.31756171 0.14299958 0.68235805 0.24532173 0.24664797 2.6215658 8.5671274 0.81922624  1.0000626   0.4616554   0.61497985 2.1510654 1.8975545 13.820433 147.25879       24.29003          19.74169          4.5483397 2794.6837                  26.377997                  399.31593                            2359.3143                       9.6755135
      1     1423.0062 3.0575148 0.95645964     1.0416041 0.022426512 0.11967588 0.056282733  1.0046043  0.99980613   0.9989398  48.883958   0.324182 9.4826008  2.4601464     8.0490992     11.898706         24.020256     103.72462     263.91592     50.651844     48.716819     120.49733     0.11743473         0.14327361          0.5127661     0.26636399         0.64773924      2.2242339  2.127462e-09 67.745948 0.31102977 0.14274753  0.6888915 0.24542081 0.24674742 2.5750996 7.8646141 0.81326601 0.98807738   0.4535588   0.60734171  2.127462 1.9009699 13.769987 147.11688      26.536556          20.84487          5.6916858 2792.9393                  25.807999                  396.64726                            2361.9639                       8.5201396
      6     1421.8799 3.0522036 0.96152915     1.0416041 0.022426512 0.11967588 0.056282733  1.0012722  0.99944388  0.99838139  31.725251 0.46429487 9.3076781  1.9044935     7.3790426     13.627577         25.060683     109.10317     216.48854     43.568361     51.501079     141.64105     0.16047879          0.1605312         0.53961107     0.24247994         0.65666429      2.2224342 2.1161925e-09 67.745948 0.31102977 0.14274753  0.6888915 0.24542081 0.24674742 2.5750996 7.8646141 0.81266474 0.98734687  0.45322348   0.60689269 2.1161925 1.8909003 13.769987 147.11688      25.633103         20.657609          4.9754939 2792.4936                  24.567053                  396.55088                             2362.714                       8.6616872
