#weight  minuslogpost         A         ns        H0      omegab     omegam      DES_DzS1      DES_DzS2      DES_DzS3      DES_DzS4         DES_m1        DES_m2        DES_m3        DES_m4       DES_AIA  DES_alphaIA  omk       ombh2       omch2            As        YHe     sigma8  s8omegamp5  s8omegamp25  minuslogprior  minuslogprior__0      chi2  chi2__des_y1.shear
      7      100.1731  4.023857  1.0377612 71.437476  0.04032579 0.21441451   0.022509357  -0.033365235 -0.0096613841 -0.0020083187    0.038223213  0.0093311153   0.017067233   0.011575128     1.0336045  -0.39242374    0 0.020579513 0.088513687  4.023857e-09  0.2445875 0.96283139  0.44583825   0.65518476      -15.82641         -15.82641 231.99902           231.99902
      3     103.66283 4.0124694  1.0371108 71.437476  0.04032579 0.21441451 -0.0083315536    -0.0151975   0.013318678   0.033315413    0.018479442  -0.050689216   0.016036065  0.0067894932     1.2923924    2.7524187    0 0.020579513 0.088513687 4.0124694e-09  0.2445875 0.96123075  0.44509708   0.65409556     -13.160382        -13.160382 233.64643           233.64643
      1     100.26778 4.1852214  1.0529039 71.587826 0.041267729 0.20853562  -0.016104213  -0.030297246  0.0033261034  -0.038997815   0.0094803004   0.026841828   0.029147636   0.004124071     1.4003731    2.7335499    0 0.021148955 0.085391106 4.1852214e-09 0.24485164 0.95711974  0.43707543   0.64678708     -17.938325        -17.938325 236.41222           236.41222
 1 97.882514 4.3066699  1.0578689 66.312785 0.038851653 0.21600565  0.0055681251 -0.028349484     0.01014191  -0.035597684   0.036401775 9.7876696e-05   0.015636607    0.01833233  1.1540998   3.1378988 0 0.017084569 0.077617747 4.3066699e-09 0.24275056 0.93200249 0.43316128 0.63537972 -18.485493 -18.485493 232.73602 232.73602
 5 98.614157 4.2893094  1.0575031 66.244529 0.039479796 0.21758998  0.0041291659 -0.026787598    0.014212672  -0.013982384   0.050621061   0.020120479   0.036135264   0.043096855 0.89597346   3.1252437 0 0.017325067  0.07787765 4.2893094e-09 0.24288787 0.92983403 0.43373541 0.63506058 -16.604281 -16.604281 230.43688 230.43688
 1 99.571324 3.8230357  1.0293738 59.870481 0.046041591 0.26093568 -0.0058846044 -0.047761207  -0.0039178703  -0.022433271   0.027863183   0.010012354   0.018434336   0.022080065 0.94466928   2.1552628 0 0.016503491 0.076796988 3.8230357e-09  0.2423978 0.85364278 0.43605664 0.61011196 -16.320211 -16.320211 231.78307 231.78307
 1 98.752686 3.6075383 0.99415292 56.902336 0.036020685 0.26579917   0.010099906  -0.01128371   0.0045465832  -0.014142202 -0.0027842458   0.057092589   0.014272412  -0.006749951  1.3236578   3.0048177 0  0.01166305 0.074190529 3.6075383e-09 0.23870135 0.83705275 0.43154853 0.60102319 -16.921012 -16.921012  231.3474  231.3474
 5 98.450605 3.4878923  1.0095434 56.902336 0.036020685 0.26579917  0.0036405471 -0.035105416    0.010983842  -0.010141173   0.016374228   0.019462035   0.042454639  0.0094481787   1.223316   3.9297875 0  0.01166305 0.074190529 3.4878923e-09 0.23870135 0.82644815 0.42608124 0.59340884 -18.057728 -18.057728 233.01666 233.01666
 9 99.003774 3.0479521 0.97727126 59.457403 0.038003202 0.27758658   0.014132998 -0.023264852   0.0051856228   -0.05364308  0.0088202574 -0.0026461534   0.030434404  0.0074165471  1.3563096   3.0641786 0 0.013434827 0.084469035 3.0479521e-09 0.24023833 0.82567425 0.43501875 0.59931943 -17.473769 -17.473769 232.95509 232.95509
 1 104.94503 3.3038759 0.98503693 60.337201 0.030149973 0.25622933    0.03662713 -0.032368039  0.00037940486  -0.034592878   0.050416513 -0.0072929455   0.048787073   0.013401769  1.8865815   2.5659035 0 0.010976332 0.082071079 3.3038759e-09 0.23799692  0.8699799 0.44037599 0.61896548  -12.98762  -12.98762 235.86529 235.86529
 1 104.36399 3.3944859 0.95529896 60.337201 0.030149973 0.25622933 -0.0094956923 -0.054801746  -0.0038337882  -0.048304719   0.010616929   0.013227674    0.01282901   0.010525449  1.6657769   2.2481769 0 0.010976332 0.082071079 3.3944859e-09 0.23799692 0.87411156 0.44246741 0.62190504 -14.332321 -14.332321 237.39262 237.39262
15 100.82236 3.5443665 0.96543312 60.337201 0.030149973 0.25622933  -0.032624912 -0.038417269 -0.00080628505 -0.0052591487    0.02601647 -0.0052705124   -0.01562308 -0.0041611932  1.1198721   3.7972853 0 0.010976332 0.082071079 3.5443665e-09 0.23799692  0.8958611 0.45347683 0.63737921 -14.831163 -14.831163 231.30705 231.30705
 7 99.512094 3.4898474 0.96816938 60.337201 0.030149973 0.25622933 -0.0025226483 -0.021765664    -0.01202004 -0.0060621396   0.035440167  0.0055902226   0.026129077  -0.014991171  1.7094558   4.1235758 0 0.010976332 0.082071079 3.4898474e-09 0.23799692 0.88966186 0.45033883 0.63296863  -16.46517  -16.46517 231.95453 231.95453
 2 98.672247 3.3244325 0.97296848 60.337201 0.030149973 0.25622933 -0.0082152835 -0.023833484   0.0026387921  -0.007322319    0.04074962  0.0090332337   0.012408139  -0.028847714 0.85381142   4.5670072 0 0.010976332 0.082071079 3.3244325e-09 0.23799692 0.86955442 0.44016062 0.61866276 -17.078207 -17.078207 231.50091 231.50091
 1 99.818341 3.3011198 0.91363021 60.337201 0.030149973 0.25622933  -0.019456849 -0.012727589  -0.0062508807  -0.049185838   0.011197983   0.014317765  -0.013048891   0.013431368 0.49845064   1.0761184 0 0.010976332 0.082071079 3.3011198e-09 0.23799692 0.85173341 0.43113979 0.60598363 -16.552538 -16.552538 232.74176 232.74176
 7 100.50663 3.2955468 0.92303214 63.823114 0.035600461 0.25295685   0.014001207 -0.026374304 -5.3703177e-05  -0.021100942  -0.011122934   0.010864677  -0.038178696   0.021243398 0.21471538   2.1250769 0 0.014501456 0.088274937 3.2955468e-09 0.24105189 0.87067162 0.43790268 0.61747019 -15.984506 -15.984506 232.98227 232.98227
 5 101.26053 3.2441834 0.91829333 65.190631 0.035156455 0.25052539  0.0070977605 -0.018055251   -0.016580089 -0.0098257423   -0.02500494    0.01753783  -0.017672323   0.013331497 0.44337095   1.4623327 0 0.014940854 0.091253712 3.2441834e-09 0.24136777 0.88080928 0.44086717 0.62315318 -14.840003 -14.840003 232.20106 232.20106
 1 100.65178 3.2137125 0.99229954 65.190631 0.035156455 0.25052539   0.011753158 -0.006676926   0.0061199382   0.012567875  -0.023460718 -0.0058786085 0.00059081543   -0.01043557 0.36814944 -0.74754301 0 0.014940854 0.091253712 3.2137125e-09 0.24136777 0.89853888 0.44974128 0.63569649 -16.044822 -16.044822 233.39321 233.39321
 2  101.9596 4.0125335  1.0495905 58.519928 0.030988106 0.23419537   0.019248709 -0.019089717    0.013468587  0.0082102079   0.040618756  -0.027996758  0.0052823958  -0.015393244 0.66910786   1.2748268 0 0.010612131 0.069369058 4.0125335e-09 0.23760902 0.87049448  0.4212648 0.60556476 -15.269667 -15.269667 234.45854 234.45854
 3 98.323568 3.9776798  1.0541253 59.340466 0.035251161 0.23817502 -0.0073953158 -0.024910369   0.0044522721 -0.0086442017   0.050292871  0.0052871276   0.035118208   0.027273932 0.62689113   2.1263414 0 0.012412959 0.071228218 3.9776798e-09 0.23939768 0.86803414 0.42362824 0.60640232 -17.387445 -17.387445 231.42203 231.42203
 7 98.721446 3.9842349  1.0547625 59.340466 0.035251161 0.23817502   0.021651403 -0.011870747    0.026569304 -0.0035890643   0.023198319   0.026649975   0.021318872   0.038733814 0.73757608   2.0493145 0 0.012412959 0.071228218 3.9842349e-09 0.23939768 0.86890968 0.42405553 0.60701397 -16.179217 -16.179217 229.80133 229.80133
 3 96.163417 4.3367134  1.0416378 59.340466 0.035251161 0.23817502  0.0033808996 -0.030302167     0.00959141   -0.01610808 0.00083828357   0.023525735   0.003482563  0.0017026199 0.54809535 -0.28866306 0 0.012412959 0.071228218 4.3367134e-09 0.23939768 0.90310224 0.44074259 0.63090064 -19.068111 -19.068111 230.46306 230.46306
 1  96.58248 4.0841082   1.039458 59.340466 0.035251161 0.23817502 -0.0055946245 -0.025020557 -0.00050889139 -0.0014492831   0.014236374   0.013767578  0.0062110701   0.023630361 0.41232087    3.176046 0 0.012412959 0.071228218 4.0841082e-09 0.23939768 0.87585754 0.42744631 0.61186769 -18.928482 -18.928482 231.02192 231.02192
 4 100.62715 2.2891466 0.93566442 90.594874 0.057674685 0.24417265    -0.0344385    -0.02357269 -0.0045990113   -0.032413744   0.020061599  0.0083887787 -0.00069769822     0.04085494 0.80999199   2.2655806 0   0.0473361  0.15253742 2.2891466e-09 0.25071434 0.88036595 0.43502252 0.61885298 -15.663136 -15.663136 232.58057 232.58057
 3  99.43441 2.2829333 0.99428168 90.594874 0.057674685 0.24417265 -0.0035472354   -0.021744926   0.023169839   -0.050512231   0.040748435  0.0085111613   -0.024400759  -0.0004832747 0.72932669   2.2215302 0   0.0473361  0.15253742 2.2829333e-09 0.25071434 0.90591824 0.44764889 0.63681496 -15.751795 -15.751795 230.37241 230.37241
 3 100.54382  2.252265 0.99476522 90.594874 0.057674685 0.24417265   -0.01579023   -0.010367126   0.021720399   -0.029921062   0.048194811 -0.0090074222   -0.014596618   -0.020853057  1.0930547   4.9235222 0   0.0473361  0.15253742  2.252265e-09 0.25071434 0.90003801 0.44474324 0.63268146 -15.093471 -15.093471 231.27458 231.27458
 3 101.63503 2.5146192  1.0245037 90.696785 0.062498252 0.23956095 -0.0065151782 -0.00085663313   0.026748479 -0.00057002667  0.0097722831   0.045365278   -0.036307923 -9.4309545e-05 0.77678793   2.0892164 0  0.05141048  0.14511944 2.5146192e-09 0.25071434 0.90818832 0.44451245  0.6353747 -13.851037 -13.851037 230.97213 230.97213
 1 98.505771 2.8932864 0.88383267 90.696785 0.062498252 0.23956095 -0.0095354947   -0.016944129  0.0061900196  -0.0059678115  0.0031393818   0.019250905   -0.036728189 -0.00091117162 0.72228562   3.2925878 0  0.05141048  0.14511944 2.8932864e-09 0.25071434 0.90791444  0.4443784 0.63518309 -17.038057 -17.038057 231.08766 231.08766
 9 98.591498 2.9277523 0.88579853 90.696785 0.062498252 0.23956095  0.0044723198  -0.0024861965  0.0049717906   -0.018054579  0.0047323883   0.016651518   -0.028199059    0.010914987  0.8326212    3.126993 0  0.05141048  0.14511944 2.9277523e-09 0.25071434 0.91417733 0.44744377 0.63956466 -17.369545 -17.369545 231.92208 231.92208
 1 100.53281 4.7094761 0.99573694 72.501147 0.043041144 0.20064932  0.0079768276  -0.0013998029   0.021058577   -0.053168158 -0.0064337766   0.018718629   0.0056554167    0.028649923  1.0227541   2.2771828 0 0.022624217 0.082506302 4.7094761e-09 0.24549146 0.95716557 0.42875175 0.64061409 -16.284451 -16.284451 233.63452 233.63452
 2 99.036745 4.8202682 0.99029397 72.501147 0.043041144 0.20064932    0.02890376    -0.02522405   0.012535028    -0.00522802  0.0083925413   0.036019338   0.0046797362    0.015725672  1.1049539  0.80814579 0 0.022624217 0.082506302 4.8202682e-09 0.24549146 0.96643378 0.43290335 0.64681715 -17.198084 -17.198084 232.46966 232.46966
21 99.154339 4.8884016  1.0486032 72.501147 0.043041144 0.20064932   0.033639147  -0.0096479061   0.014243399   -0.024412906   0.021701098   0.025705567   -0.013379782   0.0026760221  1.3743967  0.39925594 0 0.022624217 0.082506302 4.8884016e-09 0.24549146 0.99456903 0.44550622 0.66564757  -16.18493  -16.18493 230.67854 230.67854
 3 96.458103  4.845145  1.0477301 74.184586 0.044446887 0.19917667    0.01838944   -0.014774138   0.012895041   -0.018691483   0.021061534   0.016848303  -0.0086546528    0.013047262   1.300084   2.3930492 0  0.02446069 0.084798212  4.845145e-09 0.24621457  0.9971022 0.44499887 0.66611512 -18.546383 -18.546383 230.00897 230.00897
 3 100.68261 4.6471444  1.0418338 74.184586 0.044446887 0.19917667   0.031331438   -0.029036438  0.0028725612  -0.0063088111   0.029401241   0.041911849    0.035283704   0.0075971873 0.75305891   2.8105153 0  0.02446069 0.084798212 4.6471444e-09 0.24621457 0.97427758 0.43481242 0.65086711 -15.602154 -15.602154 232.56953 232.56953
 1 99.729826 4.6563122   1.017264 68.656517 0.030111684 0.19771207  0.0099020189   -0.020219812   -0.01279692  -0.0065313466   0.020326179    0.05396032   0.0041512325    0.012858041 0.41964428  -1.3315531 0 0.014193796 0.078697982 4.6563122e-09 0.24082292 0.99985763 0.44458496 0.66672458 -15.776514 -15.776514 231.01268 231.01268
 5 99.352087 4.6261517  1.0151317 68.151587 0.030361465 0.20057362 -0.0055027961   -0.016764579  0.0068771125   -0.020277996   0.046500912   0.014641619    0.042568119   0.0057582213 0.38283456  -2.4552101 0 0.014101804 0.078757751 4.6261517e-09 0.24075345 0.99636635 0.44622711 0.66678758  -17.77074  -17.77074 234.24565 234.24565
20 98.294767  4.666971  1.0280743 68.151587 0.030361465 0.20057362  0.0011838274   -0.034480864  0.0055146586   -0.031805639  -0.024494197 -0.0071916886   0.0043581698   0.0090587409 0.89213388   4.8532193 0 0.014101804 0.078757751  4.666971e-09 0.24075345  1.0052633 0.45021164 0.67274157 -17.265002 -17.265002 231.11954 231.11954
 8 98.072976 4.7105138 0.98762987 68.151587 0.030361465 0.20057362 -0.0052592952   -0.030511162  0.0017209231   -0.047589663 -0.0059552006 0.00060779873 -0.00021182967   0.0019332171 0.59928664   2.7767188 0 0.014101804 0.078757751 4.7105138e-09 0.24075345 0.99597389 0.44605135 0.66652494 -17.685748 -17.685748 231.51745 231.51745
