#weight  minuslogpost         A         ns        H0      omegab     omegam       DES_DzS1      DES_DzS2       DES_DzS3      DES_DzS4        DES_m1        DES_m2        DES_m3       DES_m4    DES_AIA  DES_alphaIA  omk       ombh2       omch2            As        YHe     sigma8  s8omegamp5  s8omegamp25  minuslogprior  minuslogprior__0      chi2  chi2__des_y1.shear
      7     97.150475 2.7763998 0.90512254 85.221289 0.060317306 0.24838981  -0.0010957578  -0.020735546      0.0175498 -0.0079208554   0.015953499   0.035842759  -0.024581315 0.0058541452  1.0725935    3.5464168    0 0.043806458  0.13612227 2.7763998e-09 0.25071434 0.88996293  0.44354614   0.62828308     -17.632213        -17.632213 229.56538           229.56538
      2     100.12745 2.2304756  1.0440642 85.221289 0.060317306 0.24838981    0.013982314  0.0037140327   0.0051934843  -0.021814023   0.022436526   0.046601333   0.010898084   0.03304996 0.53643693  -0.40421827    0 0.043806458  0.13612227 2.2304756e-09 0.25071434 0.85221018  0.42473066   0.60163094     -16.206515        -16.206515 232.66792           232.66792
      1      99.34346 2.3731492  1.0490689 86.017579 0.056306086 0.23604792    0.010402632 -0.0043034539    0.017712693  -0.017202357 0.00065142454   0.040745861   0.023722359  0.054018183 0.81128464   0.69247934    0 0.041661008  0.13251407 2.3731492e-09 0.25071434 0.87792919  0.42653982   0.61194098     -15.992092        -15.992092  230.6711            230.6711
 2 102.23564 2.2780747  1.0337979 82.408512 0.052268159 0.24513466   -0.017180844 -0.0032337679   0.015235004  -0.051484133   0.011822429  0.051811375   0.033035182   0.018730266 0.76702004  2.4083016 0 0.035496158  0.13054066 2.2780747e-09 0.24965594 0.87282184 0.43214349  0.6141533 -15.375963 -15.375963  235.2232  235.2232
 4 98.825757 2.5710807  1.0075498 82.408512 0.052268159 0.24513466   0.0012234611    -0.0226795 -0.0019346096 -0.0066541683   0.015928937  0.039728499 -0.0094618705  -0.030271142 0.60572598 0.15302103 0 0.035496158  0.13054066 2.5710807e-09 0.24965594  0.9158561 0.45345021 0.64443397  -16.35844  -16.35844 230.36839 230.36839
 7 99.159102 2.4915054 0.97418077 63.845249  0.03831773 0.28429677   0.0047849045 -0.0038912021  0.0057635441  -0.008439141   0.018783229 0.0098064391   0.031643588  -0.012905509 0.47995285 -2.4224083 0 0.015619134  0.10000339 2.4915054e-09 0.24182678 0.82611852 0.44048216 0.60323335 -18.023288 -18.023288 234.36478 234.36478
 4 105.71655 3.2317565   1.063193 67.927959 0.054553608 0.26363121  0.00049061319  0.0061726839   0.015835175  -0.035912292   0.036403675   -0.0586865  0.0074794709   0.025914026 0.55925009 -2.9364723 0 0.025172167 0.096175062 3.2317565e-09 0.24650374 0.87935616 0.45150568 0.63010658 -12.009314 -12.009314 235.45172 235.45172
 1 97.903157 2.8215406  1.0268286   83.7636  0.05139611 0.23078893  -0.0023326892  -0.031472951   0.016355634 -0.0086299856   0.021650913 -0.010445445   0.023774877   0.019345355 0.85350143  3.1881569 0 0.036061262  0.12541546 2.8215406e-09 0.24979923 0.94000707 0.45158407 0.65153067 -18.376491 -18.376491  232.5593  232.5593
 3 98.941931 2.0086225 0.92723077 69.042344 0.033485691 0.28230019  -0.0032502272  -0.022012052   0.019879148  0.0077520489  -0.015685437  0.040979674 -0.0089406255  -0.015728575 0.99891801  3.4712678 0 0.015962111  0.11829849 2.0086225e-09  0.2420506 0.82149884 0.43647818 0.59880408 -16.030435 -16.030435 229.94473 229.94473
 6 103.06649 2.3320607   1.013741 90.435694 0.066633159 0.24829619   0.0033087858 0.00030193179 -0.0038715633  -0.015463107   0.014691013  0.047767706   0.011110806  -0.032576731  1.0317935  1.1297132 0 0.054496694  0.14804756 2.3320607e-09 0.25071434 0.86634814 0.43169545 0.61155421 -14.976045 -14.976045 236.08507 236.08507
 8 102.89965 2.7022188 0.96370594 90.435694 0.066633159 0.24829619    0.003238951  -0.029133001  -0.015066136  -0.028956949   0.016429314  0.066907033  -0.032086523 0.00034379368  1.8217919  4.0646538 0 0.054496694  0.14804756 2.7022188e-09 0.25071434 0.90915663 0.45302663 0.64177268 -12.211028 -12.211028 230.22135 230.22135
 2 100.72948 2.9832743 0.96015091 81.457312 0.051885239 0.24577936   0.0041100243 -0.0042940289  0.0044290394  -0.032643979   0.026174048  0.024547587  -0.043672193  0.0025459981  1.9100184  4.0160279 0  0.03442738  0.12822637 2.9832743e-09 0.24938845 0.95800508 0.47494193 0.67453449 -15.549397 -15.549397 232.55775 232.55775
 1 102.80042 3.7545105  1.0263126 66.785554 0.055043219 0.26163984   -0.015117411 -0.0069143845  0.0093325501  -0.036344429   0.051914904  0.021953184  -0.037319848   0.023099577  2.2097618  2.5366496 0 0.024550983 0.091860749 3.7545105e-09 0.24625129 0.90686481 0.46386808 0.64858742 -14.716235 -14.716235  235.0333  235.0333
 3 102.31745 3.7191958  1.0033289 66.785554 0.055043219 0.26163984   -0.017856611  -0.028911819 -0.0024994595   -0.05905061   0.051999043 0.0013284889   0.025188557   0.022561753  1.5797016  3.6562584 0 0.024550983 0.091860749 3.7191958e-09 0.24625129 0.89534932 0.45797782 0.64035157  -14.87815  -14.87815  234.3912  234.3912
 7 102.30744 3.1546506  0.9574563 73.288373 0.054650315 0.26423394   0.0071732275   -0.01458924  0.0064989599  -0.042627529   0.042368713  0.031542992 -0.0032543359 0.00055532525  2.1461509  1.2472401 0 0.029353699  0.11222474 3.1546506e-09 0.24793825 0.91264108  0.4691312  0.6543305 -17.483899 -17.483899 239.58267 239.58267
10  100.6598 3.6485284 0.99590385  71.88237  0.05358487 0.24822557  -0.0033158832  -0.011564617 -0.0080190441  -0.040056479   0.032819301  0.015592555 -0.0010349087  -0.025307285  2.0871386  2.5380152 0 0.027687705  0.10023896 3.6485284e-09 0.24740406 0.92871348 0.46270587 0.65553122 -16.129262 -16.129262 233.57812 233.57812
 4 104.86186 2.4741209 0.90634264 64.145904 0.058301411 0.32012903    0.011620675  0.0038374814 -0.0059437118  -0.059034703   0.020040445  0.028809177   0.011582479  -0.012541288  2.1874653  1.8504867 0 0.023989264  0.10746868 2.4741209e-09  0.2460405 0.78426914 0.44373906 0.58992444 -14.486742 -14.486742  238.6972  238.6972
 5 101.06894 3.3966965  1.0028727 88.515214 0.068179366 0.22783868   0.0074604057 -0.0051001825  0.0070659463  -0.039499617 -0.0085523711  0.030534017   0.016779119   0.010683691  2.1420121  2.4742144 0 0.053418146   0.1245867 3.3966965e-09 0.25071434 0.91260812 0.43561022 0.63050886 -17.949239 -17.949239 238.03636 238.03636
 3 100.11571  3.810248  1.0042452 88.515214 0.068179366 0.22783868 -0.00026345654 -0.0036997332  0.0073027421  -0.046269003  -0.013106649  0.018528523 -0.0019854756  0.0016794427   2.317651  4.2406721 0 0.053418146   0.1245867  3.810248e-09 0.25071434 0.96720688 0.46167154 0.66823041 -17.448037 -17.448037 235.12749 235.12749
 5 99.883651 3.5768584 0.96868853 88.515214 0.068179366 0.22783868   0.0058709262  -0.014995217  0.0031846767  -0.040875228  -0.016778776  0.019455819   0.005544486   0.021221444  2.0150826  2.7791221 0 0.053418146   0.1245867 3.5768584e-09 0.25071434 0.92135256 0.43978415 0.63655028 -18.125678 -18.125678 236.01866 236.01866
 1 104.94901 3.9392467 0.98879377 85.975271 0.062782855 0.21496669     0.02288992  -0.013159759   0.025359496     -0.027836   0.011175256  0.066885207  -0.012303563   0.042886292  2.1808756   2.026996 0   0.0464075  0.11201357 3.9392467e-09 0.25071434 0.93574753 0.43385467 0.63716437 -13.171451 -13.171451 236.24092 236.24092
 1 102.86556  4.009572 0.98949477 85.975271 0.062782855 0.21496669    0.029439784  -0.024171194   0.014577518  -0.004931882   0.020082518  0.067789844  -0.019039306   0.013032446  2.1368607  3.8510896 0   0.0464075  0.11201357  4.009572e-09 0.25071434 0.94436538 0.43785029 0.64303239 -13.791705 -13.791705 233.31453 233.31453
15 99.967534  3.633094 0.94013097 86.857775 0.051829804 0.21397519   0.0047128153  -0.028535401   0.020376326  -0.020096559 -0.0021172155  0.022707727  -0.017208055   0.008455729   2.184998  2.9510044 0 0.039101819  0.12184019  3.633094e-09 0.25054453 0.98738736 0.45674024 0.67155011  -17.91373  -17.91373 235.76253 235.76253
 9 102.14658 3.6137493  1.0373903 86.857775 0.051829804 0.21397519   -0.019248744  -0.024822591   -0.010340258 -0.0092227863 -0.0012740726  -0.016124214 -0.0073852213  0.0044945234    2.1696348   4.9106814 0 0.039101819  0.12184019 3.6137493e-09 0.25054453  1.0313732 0.47708696 0.70146611 -16.202235 -16.202235 236.69764 236.69764
 5 101.36171 3.4856249    1.03053 87.245196 0.053933557 0.22019652 -0.00050367039  -0.023242168   -0.019627588 -0.0084571883  0.0038053738 -0.0093970586  -0.016171419  0.0013411549    1.9365087   2.9226953 0 0.041052736  0.12606371 3.4856249e-09 0.25071434  1.0228881 0.47999126 0.70069775 -15.012738 -15.012738 232.74891 232.74891
11 101.73343 3.4316392  1.0270054 85.188246  0.05466546 0.22890737  -0.0016947614   -0.02550905  -0.0060919676  -0.043674515   0.024036618  -0.015644487  -0.026371229  -0.028196852    2.0063345   2.6070179 0 0.039670928  0.12597982 3.4316392e-09 0.25066574  1.0176546 0.48688937 0.70390711 -14.374215 -14.374215 232.21529 232.21529
 1 103.37885 4.2040746  1.0697778  67.21805 0.044346862 0.23831106  -0.0030051129  -0.028277835  -0.0029513732  -0.019692969   0.054882789   0.024024823   0.027523079 6.8883588e-05    2.0065109   2.5066883 0 0.020037093 0.087346694 4.2040746e-09 0.24433104 0.98080565   0.478801  0.6852815 -16.807965 -16.807965 240.37362 240.37362
 4 106.69957 4.3299111  1.0385634  67.21805 0.044346862 0.23831106   -0.016326192  -0.041852785   0.0083832978  -0.045986815   0.048106834   0.047619267  0.0018097636   0.020823809    1.9537435   2.6913446 0 0.020037093 0.087346694 4.3299111e-09 0.24433104 0.98430924 0.48051135 0.68772943 -14.483001 -14.483001 242.36514 242.36514
 2 105.06762 4.3542884  1.0430147 65.270351 0.045979001 0.24479113   -0.024134626  -0.034373483    0.010069045   -0.03874732 -0.0084388836    0.03406192  -0.016871884  -0.036504004     1.824288   4.3082781 0  0.01958806 0.084423467 4.3542884e-09 0.24410327 0.96389566 0.47690059 0.67799883 -13.840346 -13.840346 237.81593 237.81593
 6 100.71656 4.0018748  1.0402244 90.480122 0.058843299 0.20197978    0.017730192  -0.020736221   0.0056416113  -0.045650941 0.00034005701  0.0047733168 -0.0019691016  -0.024949054    2.0297021   4.8836861 0 0.048172964  0.11665271 4.0018748e-09 0.25071434 0.99391176 0.44668542 0.66630766  -16.71751  -16.71751 234.86814 234.86814
 1 102.42929 4.2902644  1.0175459 90.480122 0.058843299 0.20197978    0.017126483   -0.02931955  -0.0022487586  -0.063967325  0.0028219238  0.0080668793 -0.0090744872  -0.021630379     1.792861   3.1377413 0 0.048172964  0.11665271 4.2902644e-09 0.25071434  1.0177208 0.45738571 0.68226897 -14.655223 -14.655223 234.16903 234.16903
 6  100.3977 4.3464616  1.0414857 90.480122 0.058843299 0.20197978 -0.00028482513  -0.025419962  -0.0095274574 -0.0090672509   0.013116216  -0.013325988 -0.0057926395 -0.0080135227   0.34280717  -4.5354256 0 0.048172964  0.11665271 4.3464616e-09 0.25071434  1.0364638 0.46580923 0.69483408 -16.991716 -16.991716 234.77884 234.77884
10 102.09506 4.3833197  1.0395338 90.480122 0.058843299 0.20197978   -0.022822616  -0.032631242     0.01358547  -0.045131931 0.00072643099 -0.0016723111  -0.042626155   0.012253564   0.31457642  -1.7421705 0 0.048172964  0.11665271 4.3833197e-09 0.25071434  1.0398479 0.46733011 0.69710273  -14.45624  -14.45624  233.1026  233.1026
 5 101.60602 4.4470483  1.0457089 90.673982 0.059382248 0.19964364  -0.0035818826  -0.023025268    0.022012842  -0.055203051 -0.0072451874   0.034679853  -0.033446262   0.031391006   0.71159467 -0.72252217 0 0.048822725  0.11478928 4.4470483e-09 0.25071434  1.0329463  0.4615359 0.69046492 -14.566479 -14.566479 232.34501 232.34501
21 100.05626 3.9070474  1.0624541 90.673982 0.059382248 0.19964364    -0.01526962  -0.037120185   0.0096758479   -0.02197963   0.030224274  -0.016769458   0.026663449   0.010929388   0.69759585   3.7716068 0 0.048822725  0.11478928 3.9070474e-09 0.25071434 0.97625559 0.43620564 0.65257045 -17.212863 -17.212863 234.53824 234.53824
