#weight  minuslogpost      logA         ns  theta_MC_100       ombh2      omch2         tau   A_planck  calib_100T  calib_217T  A_cib_217   xi_sz_cib      A_sz   ksz_norm  gal545_A_100  gal545_A_143  gal545_A_143_217  gal545_A_217  ps_A_100_100  ps_A_143_143  ps_A_143_217  ps_A_217_217  galf_TE_A_100  galf_TE_A_100_143  galf_TE_A_100_217  galf_TE_A_143  galf_TE_A_143_217  galf_TE_A_217            As        H0     omegam   omegamh2   omega_de        YHe        Y_p     DHBBN       zre     sigma8       s8h5  s8omegamp5  s8omegamp25         A     clamp       age     rdrag  minuslogprior  minuslogprior__0  minuslogprior__SZ      chi2  chi2__planck_2018_lowl.TT  chi2__planck_2018_lowl.EE  chi2__planck_2018_highl_plik.TTTEEE  chi2__planck_2018_lensing.clik
      2     1430.0438 3.0338221 0.96840519     1.0412662 0.022405284 0.11894887 0.054484826 0.99707338  0.99999102  0.99880623  57.570619 0.076019624 5.7502598 0.27635741      14.08708     7.4225553         17.602497     91.157839     238.23003      46.96429      30.71405     96.543566    0.095925411        0.069828897         0.43169869     0.30813595         0.73414841      2.1971888  2.077649e-09 67.871441 0.30825636 0.14199929  0.6916652 0.24541267 0.24673925  2.579011 7.6752562 0.80466311 0.97672108  0.44675572   0.59957305  2.077649 1.8631476 13.779138 147.33294      28.441431          26.42385          2.0175808 2803.2047                  22.569293                  396.01028                            2374.9617                       9.6634413
      2     1423.5478  3.037875 0.96820184     1.0410702 0.022425082 0.11899123 0.056648148 0.99692882  0.99850915  0.99820387  59.449247  0.29081273 9.7801752 0.96437235     10.512017      8.301306         14.233571     80.765629     205.10982       37.2334     42.479489      96.56064    0.086949504        0.095934765         0.46306608     0.26656327         0.59505873      1.9940239 2.0860868e-09  67.80706 0.30897719 0.14206145 0.69094423 0.24542026 0.24674687  2.575362 7.8893543 0.80611563 0.97894858  0.44808515   0.60100619 2.0860868 1.8626378 13.783178 147.29961      29.025229         24.197132          4.8280968 2789.0451                  22.663707                   396.4651                            2360.6183                       9.2980431
      2     1418.5808  3.053919 0.96639485     1.0410702 0.022425082 0.11899123 0.056648148   1.004291  0.99995757   0.9973648  50.459557  0.15357887  8.384569  1.4072301       9.68002     8.0640692          12.58126     83.062631     254.14818     38.574456     39.724564     114.41116      0.1461953         0.13017578         0.39571364      0.2817598         0.54427127      1.8426523 2.1198257e-09  67.80706 0.30897719 0.14206145 0.69094423 0.24542026 0.24674687  2.575362 7.8893543 0.81205151 0.98615713  0.45138465   0.60543174 2.1198257 1.8927629 13.783178 147.29961      26.500398          22.90899          3.5914085 2784.1607                  23.125893                  396.48201                            2355.9272                       8.6256655
      2     1416.6941 3.0540756 0.96721122     1.0410702 0.022425082 0.11899123 0.056648148  1.0040017  0.99966412  0.99843015  52.449526  0.42017672 9.8765655 0.41256818     8.3177145     9.0095415         14.875225     85.387127     249.65694     36.594459     49.488825     113.42319     0.13511114         0.11653578         0.40835392     0.24823666         0.62508454      1.8917093 2.1201578e-09  67.80706 0.30897719 0.14206145 0.69094423 0.24542026 0.24674687  2.575362 7.8893543 0.81236656 0.98653973  0.45155977   0.60566662 2.1201578 1.8930594 13.783178 147.29961      24.584543         20.061869          4.5226733  2784.219                  23.007581                  396.49104                            2356.0812                       8.6392118
      5     1416.6045 3.0535354 0.96705119     1.0410472 0.022418097   0.119045 0.056333936  1.0039955   0.9998488  0.99852677  50.614414  0.57057941 9.5279022  1.0501858     8.7349078     8.4239689         16.434799     87.097157     238.17787     41.657766     52.177713     115.31224     0.10746786         0.10227847         0.35208054     0.26897351          0.6771419      2.1495447 2.1190127e-09  67.77459 0.30937515 0.14210823 0.69054618  0.2454176 0.24674419 2.5766463 7.8602515 0.81229153 0.98668488  0.45180875    0.6058056 2.1190127 1.8932263 13.784798 147.29313      25.592598         21.010063          4.5825345 2782.0238                  23.025698                  396.42345                            2353.9258                       8.6489221
      1     1416.6519 3.0516689 0.96836104     1.0410472 0.022418097   0.119045 0.056333936  1.0029151  0.99942104  0.99815218  52.000048  0.45615353 5.8214358  2.2900031     8.5588934     7.8084686         11.844716     79.275149     221.81385     42.216026     42.068069     109.70557     0.11877915         0.12791557         0.35022447     0.27394282         0.71272516      1.8763021 2.1150614e-09  67.77459 0.30937515 0.14210823 0.69054618  0.2454176 0.24674419 2.5766463 7.8602515 0.81193709 0.98625434  0.45161161   0.60554126 2.1150614  1.889696 13.784798 147.29313      23.693359         21.429804          2.2635553 2785.9171                  22.779281                  396.41631                             2358.023                       8.6984936
      1     1418.3159 3.0524006 0.96769593     1.0409567 0.022296843 0.11928769 0.056832374   1.002812  0.99916148  0.99806795  55.138822  0.63960388 7.9389374 0.24965809     5.5002366     9.2987082         14.967321     80.426432     244.00399     50.250741     51.246442     111.87812     0.12810994         0.15883438         0.37390759     0.30539817         0.70221847       1.742047 2.1166094e-09 67.558523  0.3116233 0.14222967 0.68829754 0.24536942 0.24669584 2.5993992  7.941959 0.81329523 0.98948258  0.45400766   0.60765308 2.1166094 1.8891948  13.80077 147.36395      25.035395         22.355843          2.6795516 2786.5611                  22.849988                     396.59                            2358.3472                       8.7738914
      1      1416.201 3.0477233 0.96806624     1.0409567 0.022296843 0.11928769 0.056832374  1.0007178  0.99908546  0.99815297  44.511841  0.54750873 4.8464295  3.9528472     7.6596389     8.2148608         14.399537     86.738691     251.01746     48.909416     40.953469     119.13673     0.10619465         0.15900892         0.31859635     0.29232964         0.67061986      1.6115196 2.1067325e-09 67.558523  0.3116233 0.14222967 0.68829754 0.24536942 0.24669584 2.5993992  7.941959 0.81150914 0.98730957  0.45301061   0.60631861 2.1067325 1.8803792  13.80077 147.36395      24.418321         22.130135          2.2881865 2783.5654                  22.741373                  396.58709                            2355.4356                       8.8013553
      2     1420.2295 3.0516403 0.96631825     1.0407103 0.022221776  0.1200005 0.058472414  1.0004052  0.99889583  0.99807421  54.321142  0.52034984 6.7490797  3.4981191     5.1785438     9.7012128         17.818095     83.772528     240.65364     37.805105     34.260562     101.62527     0.10907238          0.1679686         0.35513605     0.24990442         0.60406875      1.6241934 2.1150008e-09 67.164059 0.31670821 0.14286742 0.68321169 0.24533857 0.24666487 2.6137442 8.1355528 0.81505414 0.99453024  0.45868667    0.6114364 2.1150008 1.8815772 13.818711 147.25894      25.829708         22.533945           3.295763 2788.7996                  23.098632                  397.14453                            2359.5234                       9.0330754
      2     1417.4143 3.0580963 0.96668332      1.040734 0.022407239 0.11996549 0.061430378  1.0002919   1.0000311  0.99716961  48.642018  0.56951742  6.544026  2.1220912     6.2067471     10.164017         16.449113     83.180427     257.96713     41.148019     41.683776     115.18001    0.096081522         0.18120167         0.41639081     0.31097476         0.55691157       1.524194 2.1286995e-09 67.337087 0.31541451 0.14301787  0.6845058 0.24541343 0.24674001 2.5786495 8.3833156 0.81691446 0.99551871  0.45879367   0.61220518 2.1286995 1.8825937 13.799121 147.06186      25.318421          22.76955          2.5488707 2784.1917                  23.244537                  398.17474                            2353.6009                       9.1714348
 3 1419.6586 3.0566663  0.9665207 1.0407141 0.022405338 0.12001214 0.060636023  1.0003082  0.9997875 0.99804542 45.000402 0.59812086 7.6537386  1.8899655 9.7190194 14.843963 23.071103 94.250585 246.49203  42.13766 43.691529 120.62153 0.076310149  0.1768511 0.34677242 0.30878534 0.61708986 1.4385437 2.1256575e-09 67.312554 0.31574321 0.14306261 0.68417704 0.24541269 0.24673927 2.5790011 8.3065752 0.81642733 0.99510636 0.45875894 0.61199946 2.1256575 1.8828925   13.8001 147.05161 26.772306 23.560754 3.2115512 2785.7726  23.25003 397.86558 2355.5118 9.1451789
10 1421.4736  3.057772 0.96672967 1.0405735 0.022425928 0.11985581 0.061417868  1.0001353  1.0004802 0.99805411  51.52742 0.73159537 2.6195406  4.4443943 11.578877 13.878759 17.860922  87.41559 318.55469 51.327922 35.973329 104.27563 0.070266327 0.16713659 0.38158282  0.3471368 0.64315087 1.8685568 2.1280091e-09 67.337235 0.31521243 0.14292687 0.68470789 0.24542059 0.24674719 2.5752069 8.3753243 0.81619883 0.99464551 0.45824489 0.61157088 2.1280091 1.8820303  13.80158 147.06992 25.552734 23.493678 2.0590555 2791.8418 23.246677 398.13503 2361.3363 9.1237147
 3 1420.7602 3.0582567 0.96668084 1.0405809 0.022423953 0.11988825 0.061641062  1.0001347  1.0001709 0.99795096  47.66244 0.94658179 4.8221835  5.3476348 8.7326578 12.415387 18.148796 90.034166 231.43516 43.383114 44.260371 105.05919 0.028885523 0.16606848 0.42061108 0.36864735 0.61066183  1.673402  2.129041e-09 67.326698 0.31537832 0.14295734 0.68454197 0.24541983 0.24674644 2.5755694 8.3982249 0.81650593 0.99509762 0.45853793 0.61188148  2.129041 1.8821025 13.801694 147.06356 26.630959 23.908081 2.7228777 2788.2584 23.263235 398.22261 2357.6086 9.1640387
 6 1420.2017 3.0537776 0.96530223 1.0405048 0.022382835 0.12042468 0.058828009  1.0000915  1.0001344 0.99851994 48.873869 0.90347993 5.9376745  4.5977133 9.6615322 13.214272 21.800204 96.434274 221.75475 44.855074 45.057873 101.80849 0.059266142 0.15253308 0.47777093 0.36643845  0.5996694 1.8353717  2.119526e-09 67.080154 0.31880159 0.14345265 0.68111811 0.24540393 0.24673047 2.5831809  8.139737 0.81615092 0.99649116 0.46081935 0.61326841  2.119526 1.8842624 13.810323 146.96788 25.859444 22.667363 3.1920806 2788.6846 23.450348 397.26971 2358.5931 9.3714132
 1 1417.7454 3.0562913 0.96523687 1.0405839 0.022363991 0.12052589 0.060058682  1.0000304  1.0002753 0.99934895 52.868433 0.82415407 4.9969491  2.6735966  10.33439 12.264534 20.805867 93.474978 238.16939 48.970509 45.175306 103.19534 0.067174505 0.18408498 0.43378877 0.33191167 0.59719524   1.68194 2.1248605e-09 67.055801 0.31921637 0.14353502 0.68070327 0.24539649 0.24672301 2.5867047 8.2682118  0.8176464 0.99849835 0.46196397 0.61459188 2.1248605 1.8843611 13.810271 146.96217 26.063438 23.970004 2.0934339 2783.3638 23.507848 397.71072 2352.5538 9.5915148
 5 1416.2644  3.054667 0.96121851 1.0405839 0.022363991 0.12052589 0.060058682 0.99948777  1.0007629  0.9986456 45.671955 0.92716356 4.8416612  2.0217846 9.4740507 11.184714 19.560477 95.553535  266.6876 56.419121 55.794437 121.78972  0.12659743 0.19260662 0.48677062 0.31044934 0.51501828 1.7567787 2.1214119e-09 67.055801 0.31921637 0.14353502 0.68070327 0.24539649 0.24672301 2.5867047 8.2682118 0.81574977 0.99618221 0.46089239 0.61316626 2.1214119 1.8813028 13.810271 146.96217 24.339185  22.31763 2.0215542 2783.8505 24.415088 397.84245 2352.3693 9.2237089
 1 1417.3379 3.0577139  0.9625222 1.0405839 0.022363991 0.12052589 0.060058682  1.0005174 0.99986513 0.99751931 49.599095 0.84507688 4.3351837   1.001706 10.692294 11.504908 16.188226 84.476809 284.64578 56.620221 48.769087 112.90913  0.12136244 0.12506063 0.57926608 0.15017242 0.58361737  2.053712 2.1278855e-09 67.055801 0.31921637 0.14353502 0.68070327 0.24539649 0.24672301 2.5867047 8.2682118 0.81739356 0.99818958 0.46182112 0.61440183 2.1278855 1.8870437 13.810271 146.96217 22.405273 20.252175 2.1530977 2789.8652 24.177021 397.82632 2358.2624 9.5994555
